ID,Hg,DL
25191,0.035883,0
25190,0.021428,0
2363,0.09,0
2364,0.06,0
2397,0.06,0
2398,0.05,0
2399,0.06,0
2400,0.06,0
2402,0.06,0
2401,0.05,0
2403,0.04,0
2404,0.07,0
2406,0.06,0
2405,0.05,0
2408,0.14,0
2407,0.03,0
2409,0.06,0
2410,0.08,0
2411,0.08,0
2412,0.07,0
2413,0.12,0
2414,0.21,0
2415,0.07,0
2416,0.09,0
2417,0.14,0
2418,0.06,0
2419,0.06,0
2420,0.15045,0
2421,0.201135,0
2423,0.08,0
2424,0.06,0
2425,0.12,0
2426,0.06,0
2365,0.1,0
2366,0.26,0
2368,0.06,0
2367,0.05,0
2370,0.06,0
2369,0.04,0
2371,0.18,0
2372,0.23,0
2373,0.01,0
2374,0.03,0
2376,0.18,0
2375,0.01,0
2377,0.02,0
2378,0.06,0
2379,0.02,0
2380,0.02,0
2381,0.06,0
2382,0.01,0
2383,0.04,0
2384,0.02,0
2428,0.03723,0
2427,0.02662,0
2429,0.022176,0
25194,0.149037,0
25192,0.094344,0
25193,0.146536,0
25195,0.067331,0
25196,0.14587,0
25197,0.312904,0
25198,0.350505,0
25199,0.600878,0
25200,0.550926,0
25201,0.130241,0
25202,0.162942,0
25203,0.255647,0
5228,0.0187,0
5229,0.0889,0
5230,0.0189,0
5231,0.181,0
5232,0.142,0
5233,0.352,0
5234,0.0202,0
5235,0.0961,0
5236,0.0335,0
5237,0.113,0
5238,0.125,0
5239,0.52,0
5240,0.118,0
5241,0.526,0
5675,0.72,0
5676,1.06,0
5679,1.29,0
5680,1.41,0
5681,1.63,0
5677,1.06,0
5678,1.23,0
5682,0.7,0
5683,0.28,0
5684,0.62,0
5685,0.15,0
5686,0.54,0
5687,0.79,0
5688,0.134078,1
5689,0.104353,1
5690,0.280026,1
5693,0.285729,1
5694,0.1,0
5695,0.13,0
5696,0.046972,1
5698,0.28,0
5699,0.31,0
5700,0.228153,1
5702,0.250851,1
5703,0.55,0
5704,0.74,0
5706,0.1,0
5705,0.096754,1
5710,0.28,0
5708,0.13,0
5709,0.14,0
5707,0.1,0
5715,0.55,0
5711,0.18,0
5712,0.36,0
5713,0.41,0
5714,0.43,0
5716,0.63,0
5717,0.036658,1
5718,0.035809,1
5720,0.049973,1
5721,0.0268,1
5723,0.13962,1
5724,0.064007,1
5725,0.049796,1
5726,0.039003,1
5728,0.061521,1
5730,0.080878,1
5731,0.063909,1
5732,0.036786,1
5734,0.051704,1
5735,0.040891,1
5736,0.12,0
5737,0.14,0
5738,0.059668,1
5739,0.021084,1
5741,0.045895,1
5742,0.032637,1
5744,0.05443,1
5745,0.050622,1
5746,0.033461,1
5748,0.052796,1
5749,0.051876,1
5751,0.19381,1
