ID,measured,LOO_modeled,sigma,DL
25191,0.035883,0.025561,0.419149,0
25190,0.021428,0.030144,0.419151,0
2363,0.09,0.120967,0.419149,0
2364,0.06,0.030174,0.419147,0
2397,0.06,0.091806,0.419148,0
2398,0.05,0.111544,0.419146,0
2399,0.06,0.028872,0.419146,0
2400,0.06,0.054617,0.419149,0
2402,0.06,0.085471,0.419148,0
2401,0.05,0.087055,0.419147,0
2403,0.04,0.034735,0.419149,0
2404,0.07,0.025944,0.419143,0
2406,0.06,0.05634,0.419149,0
2405,0.05,0.067097,0.419149,0
2408,0.14,0.085263,0.419148,0
2407,0.03,0.159752,0.419132,0
2409,0.06,0.025939,0.419145,0
2410,0.08,0.052592,0.419148,0
2411,0.08,0.112017,0.419149,0
2412,0.07,0.049886,0.419149,0
2413,0.12,0.078183,0.419148,0
2414,0.21,0.32143,0.419148,0
2415,0.07,0.065543,0.419149,0
2416,0.09,0.079359,0.419149,0
2417,0.14,0.169611,0.419149,0
2418,0.06,0.054683,0.419149,0
2419,0.06,0.065825,0.419149,0
2420,0.15045,0.190178,0.419149,0
2421,0.201135,0.158674,0.419149,0
2423,0.08,0.08878,0.419149,0
2424,0.06,0.053172,0.419149,0
2425,0.12,0.121949,0.419149,0
2426,0.06,0.17819,0.419142,0
2365,0.1,0.0488,0.419146,0
2366,0.26,0.177419,0.419148,0
2368,0.06,0.063039,0.419149,0
2367,0.05,0.060817,0.419149,0
2370,0.06,0.04217,0.419148,0
2369,0.04,0.054814,0.419149,0
2371,0.18,0.186194,0.419149,0
2372,0.23,0.181381,0.419149,0
2373,0.01,0.02037,0.419146,0
2374,0.03,0.010309,0.419143,0
2376,0.18,0.032498,0.41913,0
2375,0.01,0.080824,0.419123,0
2377,0.02,0.058386,0.419144,0
2378,0.06,0.027744,0.419146,0
2379,0.02,0.0121,0.419148,0
2380,0.02,0.068194,0.419142,0
2381,0.06,0.012458,0.419138,0
2382,0.01,0.018352,0.419148,0
2383,0.04,0.035401,0.419149,0
2384,0.02,0.022653,0.419149,0
2428,0.03723,0.03588,0.419149,0
2427,0.02662,0.0397,0.419148,0
2429,0.022176,0.015247,0.419148,0
25194,0.149037,0.126923,0.41915,0
25192,0.094344,0.109858,0.41915,0
25193,0.146536,0.226509,0.419148,0
25195,0.067331,0.065861,0.419149,0
25196,0.14587,0.096389,0.419148,0
25197,0.312904,0.528946,0.419148,0
25198,0.350505,0.207208,0.419149,0
25199,0.600878,0.759931,0.41915,0
25200,0.550926,0.435561,0.419149,0
25201,0.130241,0.067399,0.419146,0
25202,0.162942,0.281232,0.419148,0
25203,0.255647,0.295977,0.419149,0
5228,0.0187,0.046481,0.419142,0
5229,0.0889,0.0363,0.419142,0
