ID,Hg_predicted_LOO
25191,0.025561
25190,0.030144
2363,0.120967
2364,0.030174
2397,0.091806
2398,0.111544
2399,0.028872
2400,0.054617
2402,0.085471
2401,0.087055
2403,0.034735
2404,0.025944
2406,0.05634
2405,0.067097
2408,0.085263
2407,0.159752
2409,0.025939
2410,0.052592
2411,0.112017
2412,0.049886
2413,0.078183
2414,0.32143
2415,0.065543
2416,0.079359
2417,0.169611
2418,0.054683
2419,0.065825
2420,0.190178
2421,0.158674
2423,0.08878
2424,0.053172
2425,0.121949
2426,0.17819
2365,0.0488
2366,0.177419
2368,0.063039
2367,0.060817
2370,0.04217
2369,0.054814
2371,0.186194
2372,0.181381
2373,0.02037
2374,0.010309
2376,0.032498
2375,0.080824
2377,0.058386
2378,0.027744
2379,0.0121
2380,0.068194
2381,0.012458
2382,0.018352
2383,0.035401
2384,0.022653
2428,0.03588
2427,0.0397
2429,0.015247
25194,0.126923
25192,0.109858
25193,0.226509
25195,0.065861
25196,0.096389
25197,0.528946
25198,0.207208
25199,0.759931
25200,0.435561
25201,0.067399
25202,0.281232
25203,0.295977
5228,0.046481
5229,0.0363
5230,0.034637
5231,0.100631
5232,0.14745
5233,0.339041
5234,0.030812
5235,0.063708
5236,0.020916
5237,0.178461
5238,0.129176
5239,0.503288
5240,0.067563
5241,0.913678
5675,1.264997
5676,1.186051
5679,1.147861
5680,1.130968
5681,1.103959
5677,1.186051
5678,1.15701
5682,0.348119
5683,0.34036
5684,0.616313
5685,0.218874
5686,1.527339
5687,0.278997
5688,0.134574
5689,0.104403
5690,0.441386
5693,0.291251
5694,0.074806
5695,0.173538
5696,0.058228
5698,0.18304
5699,0.473848
5700,0.240889
5702,0.260169
5703,0.483596
5704,0.229529
5706,0.135123
5705,0.138228
5710,0.122675
5708,0.131849
5709,0.130937
5707,0.135123
5715,0.367158
5711,0.407566
5712,0.382028
5713,0.377406
5714,0.375726
5716,0.362509
5717,0.03805
5718,0.036973
5720,0.070338
5721,0.02692
5723,0.172075
5724,0.1033
5725,0.069593
5726,0.041247
5728,0.099447
5730,0.123465
5731,0.103155
5732,0.038215
5734,0.077015
5735,0.044152
5736,0.046787
5737,0.180857
5738,0.09629
5739,0.021099
5741,0.054831
5742,0.03321
5744,0.085189
5745,0.072985
5746,0.034154
5748,0.080594
5749,0.077609
5751,0.213204
5752,0.02565
5753,0.165929
5755,0.066347
5757,0.140884
5758,0.82849
5759,0.223196
5760,0.301508
5762,1.096863
5763,0.516834
5764,0.171877
5765,0.569875
5766,0.032359
5768,0.096782
5769,0.036283
5771,0.065779
5772,0.498726
5773,0.075064
5774,0.445614
5775,0.090782
5779,0.937819
5777,0.962499
5778,0.950729
5781,0.894409
5780,0.898922
5782,0.846886
5783,0.279138
5784,1.048954
5785,0.924011
5786,0.41177
5788,0.225903
5791,0.330591
5790,0.929084
5792,0.346987
5793,0.420539
5794,0.042171
5795,0.041129
5797,0.104281
5798,0.032122
5799,0.311769
5800,0.194308
5801,0.043307
5802,1.536025
5803,0.236975
5804,1.973879
5806,0.64202
5807,0.243996
5808,1.39809
5809,0.225517
5810,0.585361
5811,0.121199
5814,0.181821
5815,0.693019
5816,0.067655
5818,0.08898
5820,0.072567
5822,0.074327
5824,0.72728
5825,0.672779
5826,0.439156
5827,0.248572
5828,0.522441
5829,0.269481
5830,0.028103
5832,0.105348
5834,0.074951
5835,0.874974
5836,0.151925
5837,0.80463
5839,0.381962
5842,0.651929
5846,0.122728
5848,0.117044
5847,0.076676
5849,0.366137
5850,0.149791
5851,0.112219
5852,0.33042
5853,0.190398
5854,0.138596
5858,0.074811
5861,0.656484
5862,0.353761
5863,0.895269
5864,0.43707
5865,0.428707
5866,0.751866
5867,0.751866
5868,0.547201
5870,0.094233
5869,0.129777
5871,0.466156
5872,0.27153
5874,0.135195
5875,0.125554
5876,0.524211
5878,0.451024
5877,0.478945
5879,0.054402
5881,0.03136
5883,0.083567
5886,0.064777
5887,0.442334
5888,0.072848
5890,0.081039
5892,0.076975
5893,0.488784
5894,0.085002
5895,0.557719
5896,0.137661
5897,0.325271
5898,0.042387
5899,0.056555
5900,0.065125
5901,0.066303
5902,0.090408
5903,0.201528
5905,0.22995
5904,0.178512
5906,0.212467
5908,0.157789
5907,0.170026
5910,0.083416
5909,0.079022
5911,0.078596
5913,0.325228
5912,0.325228
5914,0.219629
5915,0.303565
5916,0.303565
5917,0.277268
5918,0.316487
5919,0.871283
5926,0.873359
5920,0.88639
5921,0.88639
5922,0.854249
5923,0.65925
5925,0.689947
5924,0.91813
5927,0.314037
5932,0.878397
5929,0.81437
5931,0.878397
5930,1.400275
5928,0.932838
5933,0.885427
5934,0.352046
5935,0.043624
5937,0.046876
5938,0.021828
5939,0.275541
5940,0.099443
5941,0.031973
5942,0.038317
5945,0.043991
5946,0.199342
5947,0.105102
5948,0.079878
5949,0.108575
5951,0.408953
5952,0.123353
5954,0.169912
5953,0.241483
5955,0.079239
5956,1.103903
5957,0.621192
5958,0.210039
5959,0.05594
5961,0.03529
5963,0.098874
5967,0.126187
5969,0.170954
5971,0.101982
5973,0.029992
5975,0.074276
5976,0.107184
5977,0.410691
5978,0.305269
5981,1.018945
5982,0.127128
5983,0.337733
2430,0.553621
2431,1.245152
2432,0.117645
2433,0.502729
2434,0.816721
2435,0.161196
2436,0.124073
2437,0.417933
2438,0.307027
2440,0.798419
2439,0.714194
2442,0.100637
2441,0.144638
2443,0.255776
2444,0.223368
2445,0.276551
2446,0.094904
2448,0.061909
2449,0.048766
2450,0.085521
2452,0.102844
2451,0.093542
2453,0.235728
2455,0.038188
2454,0.082992
2456,0.093704
2457,0.091174
2458,0.570457
2459,0.090557
2460,0.090557
2461,0.125472
2462,0.099778
2463,0.425494
2464,0.301074
2465,0.054311
2466,0.029426
2467,0.079869
2468,0.080197
2469,0.237388
2470,0.169574
2471,0.02829
2472,0.197821
2473,0.195765
2474,0.391731
2475,0.099362
2476,0.077491
2477,0.034842
2478,0.034606
2479,0.083744
2480,0.053799
2481,0.077168
2482,0.185741
2484,0.042959
2483,0.076844
2485,0.146643
5242,0.26223
5243,0.065973
5244,0.09342
5245,0.761102
5246,0.534941
5247,0.140312
5248,0.061505
5249,0.026575
5250,0.137593
5251,0.359212
5984,0.41449
5985,0.132507
5987,0.385783
5988,2.348929
5989,0.586557
5990,0.206876
5991,1.017161
5992,0.948874
5993,0.632296
5994,0.890976
5995,0.361724
5996,0.517575
5997,0.250306
5998,0.300293
5999,0.466255
6001,0.184187
6002,0.234552
6003,1.257402
6004,0.285185
6005,0.310784
6006,1.515754
6007,0.749015
6008,0.262501
6009,0.340182
6010,0.387319
6012,0.259934
6013,0.72666
6014,1.011072
6015,0.304592
6016,0.716496
6017,0.285763
6018,0.518756
6019,0.619235
6020,0.557421
6022,0.474598
6023,0.524256
6024,0.448457
6026,0.796349
6025,0.451913
6021,0.46708
6027,0.268564
6028,0.151616
6029,4.275282
6032,0.284412
6031,0.208911
6035,0.294851
6038,0.214978
6039,1.083237
6042,0.304575
6041,0.386372
6044,0.082009
6048,0.380792
6049,0.32888
6051,0.379585
6052,0.546496
6053,0.486524
6054,0.372856
6050,0.276226
6055,0.257601
6056,0.066655
6057,0.040697
6059,0.422544
6060,0.556428
6061,0.346613
6058,0.386867
6062,1.630179
6063,0.440487
6064,0.369876
6065,1.327546
6066,0.36922
6067,0.906108
6068,2.241534
6069,0.328578
6070,0.851803
6071,0.335726
6072,0.396746
6076,0.781888
6077,1.598527
6078,1.238229
6079,0.941826
6080,2.056392
6084,0.46451
6083,0.437081
6086,0.243211
6087,0.664494
6088,0.753448
6089,0.451565
6090,0.383163
6091,0.497541
6092,0.323569
6093,1.949841
6094,1.671981
6096,0.475269
6095,0.673477
6098,0.886334
6097,0.685317
6099,1.085135
6100,1.389404
6101,0.334008
6104,0.461061
6103,0.515709
6107,0.831514
6106,0.548373
6108,0.609083
6109,0.564924
6110,0.784728
6111,0.22105
6112,0.404655
6113,0.384516
6123,1.59059
6125,1.705549
6126,1.612744
6118,0.832071
6114,0.834593
6121,1.114688
6117,0.833473
6115,0.885242
6119,0.989565
6124,1.266058
6122,1.30197
6120,0.807416
6116,0.863593
6127,0.260526
6128,0.404164
6130,1.015942
6131,1.754164
6132,0.3318
6133,0.929796
6136,1.95324
6134,0.940635
6135,1.630343
6137,2.884736
6138,2.501672
6139,1.149909
6140,0.505449
6141,0.671329
6142,2.314178
6143,0.714188
6145,0.604846
6144,0.440516
6150,0.208054
6149,0.200006
6152,0.84732
6151,0.790424
6156,1.219416
6157,1.369081
6158,0.251851
6159,2.326332
6160,2.261003
6161,0.910265
6162,0.552764
6163,2.727716
6164,0.757611
6165,1.302546
6166,0.473044
6167,0.27501
6168,0.182973
6171,0.38607
6170,0.404149
6173,0.316288
6172,0.419347
6174,0.166071
6176,0.105352
6180,0.536743
6179,0.603231
6182,0.911378
6181,0.470418
6183,0.386228
6184,0.482103
6187,2.521622
6188,1.970321
6189,0.730566
6190,2.607306
6191,0.62887
6192,0.387265
6193,0.395295
6194,0.755866
6195,0.274894
6196,0.427792
6199,1.286873
6200,1.455221
6201,0.414221
6202,1.212018
6203,0.420521
6204,0.471136
6205,0.361038
6216,0.544744
6223,0.870572
6212,0.478853
6235,0.939701
6228,0.787079
6220,0.68491
6210,0.479254
6233,1.124652
6229,0.833193
6225,0.914669
6221,0.797421
6218,0.564805
6214,0.641668
6211,0.479977
6237,1.106523
6234,1.082366
6232,1.021011
6230,0.925389
6227,0.893602
6226,1.012106
6224,0.771341
6222,0.680688
6236,1.167721
6219,0.6318
6217,0.70849
6215,0.552102
6213,0.624914
6231,1.036299
6238,0.086693
6239,0.088057
6240,0.087766
6242,0.079653
6243,0.100713
6244,0.082418
6245,0.102734
6241,0.095872
6246,0.365308
6247,0.105798
6252,0.187094
6254,0.571569
6256,0.548348
6257,0.536456
6255,0.555209
6253,0.445984
6259,0.176653
6261,0.347999
6260,0.364466
6264,0.520227
6263,0.486141
6266,0.139373
6267,0.768103
6270,0.210562
6272,0.130777
6271,0.123017
6269,0.106636
6274,0.710108
6273,0.583582
6276,0.477363
6277,0.63998
6278,0.519727
6279,0.647
6280,0.156251
6281,0.235508
6282,0.644421
6283,0.338842
6285,2.273675
6286,1.505433
6287,1.905181
6288,0.441364
6289,1.410532
6290,0.496609
6291,0.256938
6292,0.170479
6293,0.181117
6294,0.514848
6295,1.468
6299,0.845086
6300,0.484626
6304,0.754007
6303,0.687605
6307,0.652775
6311,0.677779
6309,0.832805
6305,0.453614
6312,0.815364
6310,0.536151
6308,0.498001
6306,0.700948
6328,0.66972
6316,0.458647
6345,0.691953
6321,0.651478
6355,1.001073
6335,0.720126
6318,0.534798
6350,0.988848
6341,0.702748
6332,0.761696
6340,0.539451
6320,0.682241
6352,0.612499
6314,0.543711
6358,1.11841
6353,1.170603
6347,1.000661
6343,0.705184
6338,0.85101
6333,0.677326
6330,0.618833
6326,0.697681
6323,0.746243
6348,0.736513
6319,0.518553
6317,0.59573
