ID,length,Wt,DL,Hg,SamInEve,SpC,Event,SpC_Count2,SpC_EVENT
25191,6.220472441,1,0,0.035883301,2,518,1,4,518_1
25190,4.488188976,4,0,0.021428313,2,518,1,4,518_1
2402,14.4000288,-1,0,0.06,6,98,4,125,98_4
2401,14.1000282,-1,0,0.05,6,98,4,125,98_4
2403,12.500025,-1,0,0.04,6,477,4,18,477_4
2404,10.9000218,-1,0,0.07,6,477,4,18,477_4
2406,11.500023,-1,0,0.06,6,558,4,7,558_4
2405,12.4000248,-1,0,0.05,6,558,4,7,558_4
2408,15.500031,-1,0,0.14,4,98,5,125,98_5
2407,16.2000324,-1,0,0.03,4,98,5,125,98_5
2415,14.6000292,-1,0,0.07,3,98,8,125,98_8
2416,17.8000356,-1,0,0.09,3,98,8,125,98_8
2420,14.64566929,-1,0,0.15045,3,141,10,2,141_10
2421,15.18110236,-1,0,0.201135,3,141,10,2,141_10
2368,11.1000222,-1,0,0.06,6,409,13,538,409_13
2367,10.4000208,-1,0,0.05,6,409,13,538,409_13
2370,11.7000234,-1,0,0.06,6,477,13,18,477_13
2369,13.8000276,-1,0,0.04,6,477,13,18,477_13
2371,16.4000328,-1,0,0.18,6,523,13,110,523_13
2372,16.7000334,-1,0,0.23,6,523,13,110,523_13
2376,14.6000292,-1,0,0.18,4,523,14,110,523_14
2375,14.000028,-1,0,0.01,4,523,14,110,523_14
2428,17.96850394,-1,0,0.03723,3,98,18,125,98_18
2427,17.24409449,-1,0,0.02662,3,98,18,125,98_18
25194,10.82677165,2,0,0.149036747,5,320,19,367,320_19
25192,9.448818898,2,0,0.094344487,5,320,19,367,320_19
25193,14.37007874,2,0,0.146535714,5,320,19,367,320_19
25195,7.086614173,1,0,0.067331111,5,472,19,997,472_19
25196,9.645669291,2,0,0.14587013,5,472,19,997,472_19
25197,13.77952756,2,0,0.31290381,2,327,20,6007,327_20
25198,10.59055118,4,0,0.350504856,2,327,20,6007,327_20
25201,5.826771654,2,0,0.130240519,3,327,22,6007,327_22
25202,11.02362205,2,0,0.162941521,3,327,22,6007,327_22
25203,12.75590551,1,0,0.255647177,3,327,22,6007,327_22
5675,14.78,6,0,0.72,7,327,30,6007,327_30
5676,14.78,6,0,1.06,7,327,30,6007,327_30
5679,14.78,6,0,1.29,7,327,30,6007,327_30
5680,14.78,6,0,1.41,7,327,30,6007,327_30
5681,14.78,6,0,1.63,7,327,30,6007,327_30
5677,14.78,6,0,1.06,7,327,30,6007,327_30
5678,14.78,6,0,1.23,7,327,30,6007,327_30
5686,17.18,1,0,0.54,2,327,32,6007,327_32
5687,11.31,6,0,0.79,2,327,32,6007,327_32
5688,15.84,2,1,0.5,4,238,33,3254,238_33
5689,12.81,3,1,0.5,4,238,33,3254,238_33
5691,20.09,1,0,0.9,4,327,33,6007,327_33
5690,13,5,1,0.5,4,327,33,6007,327_33
5706,16.19,6,0,0.1,12,238,40,3254,238_40
5705,16.19,6,1,0.1,12,238,40,3254,238_40
5710,16.19,6,0,0.28,12,238,40,3254,238_40
5708,16.19,6,0,0.13,12,238,40,3254,238_40
5709,16.19,6,0,0.14,12,238,40,3254,238_40
5707,16.19,6,0,0.1,12,238,40,3254,238_40
5715,14.7,6,0,0.55,12,327,40,6007,327_40
5711,14.7,6,0,0.18,12,327,40,6007,327_40
5712,14.7,6,0,0.36,12,327,40,6007,327_40
5713,14.7,6,0,0.41,12,327,40,6007,327_40
5714,14.7,6,0,0.43,12,327,40,6007,327_40
5716,14.7,6,0,0.63,12,327,40,6007,327_40
5779,15.48,5,0,0.77,7,327,63,6007,327_63
5777,15.48,5,0,0.66,7,327,63,6007,327_63
5778,15.48,5,0,0.71,7,327,63,6007,327_63
5781,15.48,5,0,1.02,7,327,63,6007,327_63
5780,15.48,5,0,0.99,7,327,63,6007,327_63
5782,15.48,5,0,1.41,7,327,63,6007,327_63
5791,10.6,2,0,0.7,4,195,67,77,195_67
5790,18.05,1,0,0.59,4,195,67,77,195_67
5848,20.02,5,0,0.21,5,238,93,3254,238_93
5847,14.42,6,0,0.15,5,238,93,3254,238_93
5866,10.76,1,0,0.89,5,327,101,6007,327_101
5867,10.76,1,0,0.89,5,327,101,6007,327_101
5870,11.43,2,1,0.5,6,238,102,3254,238_102
5869,14.97,1,1,0.5,6,238,102,3254,238_102
5871,13.79,4,1,0.5,6,327,102,6007,327_102
5872,10.84,6,1,0.5,6,327,102,6007,327_102
5873,19.31,1,0,1.1,6,327,102,6007,327_102
5876,14.34,6,1,0.5,4,327,103,6007,327_103
5878,16.9,1,0,0.7,4,327,103,6007,327_103
5877,17.34,1,0,0.7,4,327,103,6007,327_103
5898,14.62,1,1,0.1,14,233,114,1277,233_114
5899,18.72,1,1,0.1,14,233,114,1277,233_114
5900,21.08,1,1,0.1,14,233,114,1277,233_114
5901,17.73,1,1,0.1,14,238,114,3254,238_114
5902,24.43,1,0,0.19,14,238,114,3254,238_114
5903,15.17,1,1,0.1,14,320,114,367,320_114
5905,16.75,1,0,0.13,14,320,114,367,320_114
5904,14.38,1,0,0.11,14,320,114,367,320_114
5906,16.15,1,0,0.15,14,320,114,367,320_114
5908,13.79,1,0,0.18,14,320,114,367,320_114
5907,14.34,1,0,0.17,14,320,114,367,320_114
5910,17.57,1,0,0.15,14,490,114,757,490_114
5909,16.75,1,0,0.13,14,490,114,757,490_114
5911,16.94,1,0,0.16,14,490,114,757,490_114
5913,19.9,1,0,0.42,15,238,115,3254,238_115
5912,19.9,1,0,0.42,15,238,115,3254,238_115
5914,14.7,1,0,0.44,15,238,115,3254,238_115
5915,19.03,1,0,0.49,15,238,115,3254,238_115
5916,19.03,1,0,0.49,15,238,115,3254,238_115
5917,17.89,1,0,0.57,15,238,115,3254,238_115
5918,19.82,1,0,0.57,15,238,115,3254,238_115
5926,16.47,1,0,1.17,15,327,115,6007,327_115
5920,14.93,1,1,0.1,15,327,115,6007,327_115
5921,14.93,1,1,0.1,15,327,115,6007,327_115
5922,15.88,1,0,0.67,15,327,115,6007,327_115
5923,13.75,1,0,0.82,15,327,115,6007,327_115
5925,14.34,1,0,1.17,15,327,115,6007,327_115
5924,16.78,1,0,0.91,15,327,115,6007,327_115
5932,15.21,1,0,1.41,8,320,116,367,320_116
5929,13.87,1,0,0.74,8,320,116,367,320_116
5931,15.21,1,0,1.41,8,320,116,367,320_116
5930,18.75,1,0,0.8,8,320,116,367,320_116
5928,14.66,1,0,0.58,8,320,116,367,320_116
5950,13.4,3,0,0.29,4,238,121,3254,238_121
5949,21.12,1,1,0.1,4,238,121,3254,238_121
5954,10.32,4,0,0.28,3,312,122,4,312_122
5953,10.64,1,0,0.24,3,312,122,4,312_122
5975,11.23,4,1,0.5,5,238,133,3254,238_133
5976,15.29,4,1,0.5,5,238,133,3254,238_133
5977,15.8,1,1,0.5,5,327,133,6007,327_133
5978,13,5,1,0.5,5,327,133,6007,327_133
5979,15.37,1,0,0.5,5,327,133,6007,327_133
2435,15.8000316,-1,0,0.17,4,373,137,38,373_137
2436,15.8000316,-1,0,0.35,4,373,137,38,373_137
2437,19.7000394,-1,0,0.1,6,168,138,2090,168_138
2438,19.6000392,-1,0,0.42,6,168,138,2090,168_138
2440,15.7000314,-1,0,1.1,6,330,138,729,330_138
2439,14.7000294,-1,0,1.1,6,330,138,729,330_138
2442,15.6000312,-1,0,0.3,6,373,138,38,373_138
2441,15.8000316,-1,0,0.07,6,373,138,38,373_138
2443,13.7000274,-1,0,0.12,4,240,139,615,240_139
2444,12.7000254,-1,0,0.13,4,240,139,615,240_139
2448,14.2000284,-1,0,0.04,3,235,141,33,235_141
2449,13.1000262,-1,0,0.05,3,235,141,33,235_141
2452,13.8000276,-1,0,0.13,3,240,142,615,240_142
2451,10.2000204,-1,0,0.06,3,240,142,615,240_142
2455,12.53937008,-1,0,0.1204,3,240,143,615,240_143
2454,13.33858268,-1,0,0.03146,3,240,143,615,240_143
2459,15.00003,-1,1,0.05,4,373,144,38,373_144
2460,15.00003,-1,1,0.05,4,373,144,38,373_144
2461,8.000016,-1,0,0.08,6,287,145,917,287_145
2462,7.6000152,-1,0,0.16,6,287,145,917,287_145
2463,16.6000332,-1,0,0.09,6,330,145,729,330_145
2464,17.1000342,-1,0,0.59,6,330,145,729,330_145
2465,16.1000322,-1,0,0.02,6,373,145,38,373_145
2466,15.00003,-1,0,0.19,6,373,145,38,373_145
2469,14.1000282,-1,0,0.16,5,330,146,729,330_146
2470,13.1000262,-1,0,0.36,5,330,146,729,330_146
2475,18.3000366,-1,0,0.07,3,243,148,81,243_148
2476,19.1000382,-1,0,0.13,3,243,148,81,243_148
2477,18.3000366,-1,0,0.04,3,235,149,33,235_149
2478,19.6000392,-1,0,0.05,3,235,149,33,235_149
2480,10.8000216,-1,0,0.05,3,240,150,615,240_150
2481,15.00003,-1,0,0.07,3,240,150,615,240_150
2484,13.66141732,-1,0,0.06877,3,240,151,615,240_151
2483,15.01968504,-1,0,0.0292,3,240,151,615,240_151
5984,17.18,3,0,0.22,2,327,157,6007,327_157
5985,12.49,5,0,0.25,2,327,157,6007,327_157
5988,18.32,1,0,0.72,3,327,159,6007,327_159
5989,11.15,4,0,1.29,3,327,159,6007,327_159
5992,17.38,2,0,0.75,2,233,161,1277,233_161
5993,14.93,3,0,0.8,2,233,161,1277,233_161
5996,16.15,1,0,0.36,2,327,163,6007,327_163
5997,12.84,2,0,0.36,2,327,163,6007,327_163
5998,12.92,3,0,0.28,2,327,164,6007,327_164
5999,17.81,4,0,0.5,2,327,164,6007,327_164
6008,24.07,3,0,0.48,3,244,168,215,244_168
6009,28.64,3,0,0.57,3,244,168,215,244_168
6012,11.86,5,0,0.42,2,327,170,6007,327_170
6013,16.78,1,0,0.45,2,327,170,6007,327_170
6020,12.61,1,0,0.28,8,327,174,6007,327_174
6022,12.14,5,0,0.6,8,327,174,6007,327_174
6023,12.77,5,0,0.6,8,327,174,6007,327_174
6024,11.54,1,0,0.62,8,327,174,6007,327_174
6026,16.35,1,0,0.8,8,327,174,6007,327_174
6025,11.62,1,0,0.65,8,327,174,6007,327_174
6021,11.62,1,0,0.44,8,327,174,6007,327_174
6032,15.84,3,0,0.33,2,327,177,6007,327_177
6031,11.86,5,0,0.18,2,327,177,6007,327_177
6036,16.04,3,0,0.38,2,327,180,6007,327_180
6035,13.67,5,1,0.1,2,327,180,6007,327_180
6042,16.98,3,0,0.56,2,327,184,6007,327_184
6041,13.44,5,0,0.21,2,327,184,6007,327_184
6048,14.5,1,0,0.15,8,327,189,6007,327_189
6049,13.51,1,0,0.19,8,327,189,6007,327_189
6051,15.44,5,0,0.41,8,327,189,6007,327_189
6052,19.03,1,0,0.48,8,327,189,6007,327_189
6053,18.01,1,0,0.58,8,327,189,6007,327_189
6054,16.94,4,0,0.87,8,327,189,6007,327_189
6050,12.25,1,0,0.2,8,327,189,6007,327_189
6056,14.22,5,0,0.03,2,327,190,6007,327_190
6057,17.14,2,0,0.09,2,327,190,6007,327_190
6059,12.25,7,0,0.26,4,327,191,6007,327_191
6060,16.35,1,0,0.66,4,327,191,6007,327_191
